Category,SubCategory,Type,Name,SegmentId,SegmentIdLong,Last Compute Day,Description
Conversion,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Returning_Visitor_8-15x90,MdOT0lts,tpd2ihxxa,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Site-Visitor_Frequency_1-5x180,MX5DCUC3,tkpqgy9zd,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Site-Visitor_Frequency_1-5x7,MhE5i0Nc,tsrpdp0vi,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Site-Visitor_Frequency_1-5x90,MhFco9cN,tsry4ab2n,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Site-Visitor_Frequency_11+x180,MX5NZBWY,tkptcesyy,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Site-Visitor_Frequency_11+x30,MhFyxAyM,tsr49am8e,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Site-Visitor_Frequency_11+x7,MhFxuyHJ,tsr4yyixn,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Site-Visitor_Frequency_11+x90,MhFzjqqq,tsr5g686k,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Site-Visitor_Frequency_1x180,Mj1ssYal,tu6wxlg6f,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Site-Visitor_Frequency_6-10x180,MX5MjXwf,tkps31c4h,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Site-Visitor_Frequency_6-10x30,MhFq5Xaz,tsr22otvp,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Site-Visitor_Frequency_6-10x7,MhFtsoAS,tsr3un0w0,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Site-Visitor_Frequency_6-10x90,MhFrF2jV,tsr24mzjb,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Site-Visitor_Frequency_Allx180,MP1jUdKv,tdngfw44x,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Site-Visitor_Frequency_Returning User,Mj1tkKKP,tu6w6avb1,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Status_Newly Registered_1x180,MX5B1iRp,tkpp4zv1n,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Status_Not Registered_1x180,MX5f7Sj2,tkpyhj1hk,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Status_Registered_1x15,Mc7ThOpu,to4o06whs,2019-04-09,
